document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized,answera,answerb,answerc,answerd
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,“Temperance”refers to the movement designed to abolish which of the following?,Drinking alcohol,Drinking alcohol,“Temperance”refers to the movement designed to abolish which of the following?,Drinking alcohol,Drinking alcohol,Drinking alcohol,Slavery,School segregation,Income taxes
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What kind ofanimal does Huck kill as part of the plot to fake his own death?,A pig,A pig,What kind ofanimal does Huck kill as part of the plot to fake his own death?,A pig,A pig,A dog,A deer,A fish,A pig
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Who finally tellsHuck that Pap is dead?,Jim,Jim,Who finally tellsHuck that Pap is dead?,Jim,Jim,Tom,Aunt Polly,Jim,Sally Phelps
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Which of thefollowing characters gets shot in Jim’s final “escape”?,Tom,Tom,Which of thefollowing characters gets shot in Jim’s final “escape”?,Tom,Tom,Huck,Tom,Jim,All of the above
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Where does Huckgo after Sherburn disperses the lynch mob?,To the circus,To the circus,Where does Huckgo after Sherburn disperses the lynch mob?,To the circus,To the circus,To the police,To the raft,To the circus,To the theater
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What is MarkTwain’s real name?,Samuel Clemens,Samuel Clemens,What is MarkTwain’s real name?,Samuel Clemens,Samuel Clemens,William Jennings Bryan,Henry Williams Norris,William Dean Howells,Samuel Clemens
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does Tomtravel to the Phelps farm?,By steamboat,By steamboat,How does Tomtravel to the Phelps farm?,By steamboat,By steamboat,By steamboat,By horse-cart,By foot,By train
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Where does Huckintend to go at the novel’s end?,The West,The West,Where does Huckintend to go at the novel’s end?,The West,The West,St. Petersburg,The West,New York City,The Phelps farm
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What book does Huck Finn tell the reader he was also in?,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,What book does Huck Finn tell the reader he was also in?,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,Huck Finn: Adventurer Extraordinaire,Pudd’nhead Wilson,Great Expectations
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Huck Finn return to the Widow Douglas after running away in Chapter 1?,He wants to join Tom Sawyer’s band of robbers.,He wants to join Tom Sawyer’s band of robbers.,Why does Huck Finn return to the Widow Douglas after running away in Chapter 1?,He wants to join Tom Sawyer’s band of robbers.,He wants to join Tom Sawyer’s band of robbers.,He is captured by the sheriff.,He decides it was wrong to run away.,He wants to join Tom Sawyer’s band of robbers.,Jim needs his help.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How did Tom and Huck come into their money?,They discovered a stash left by robbers.,They discovered a stash left by robbers.,How did Tom and Huck come into their money?,They discovered a stash left by robbers.,They discovered a stash left by robbers.,They stole it from a traveling salesman,They discovered a stash left by robbers.,They inherited it from a long-lost uncle.,They won it in the lottery.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Huck lose interest in the story of Moses?,He realizes that Moses is dead.,He realizes that Moses is dead.,Why does Huck lose interest in the story of Moses?,He realizes that Moses is dead.,He realizes that Moses is dead.,He gets bored by the 40 years of wandering.,He realizes that it’s from the Bible.,He realizes that Moses is dead.,He only wants to read about pirates.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why is Huck upset after burning the spider?,He’s afraid it will bring him bad luck.,He’s afraid it will bring him bad luck.,Why is Huck upset after burning the spider?,He’s afraid it will bring him bad luck.,He’s afraid it will bring him bad luck.,It was his pet spider.,He burned his hand as well.,He’s afraid it will bring him bad luck.,He feels guilty for hurting a living thing.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Jim wear the 5-cent piece around his neck?,He says it’s a charm from the devil that can cure illness.,He says it’s a charm from the devil that can cure illness.,Why does Jim wear the 5-cent piece around his neck?,He says it’s a charm from the devil that can cure illness.,He says it’s a charm from the devil that can cure illness.,It’s the most money he’s ever had.,He says it’s a charm from the devil that can cure illness.,He doesn’t want to lose it.,He thinks it was given to him by an angel.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does the rest of Tom’s gang object to Huck joining?,"He has no family, aside from a drunken father.","He has no family, aside from a drunken father.",Why does the rest of Tom’s gang object to Huck joining?,"He has no family, aside from a drunken father.","He has no family, aside from a drunken father.","He has no family, aside from a drunken father.",He is older than the other boys.,They think he smells funny.,He messes up the words when taking the oath.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Huck decide to abandon prayer?,He decides there’s no benefit in it.,He decides there’s no benefit in it.,Why does Huck decide to abandon prayer?,He decides there’s no benefit in it.,He decides there’s no benefit in it.,He decides there’s no benefit in it.,The Widow Douglas becomes deathly ill.,Tom makes fun of him for believing in superstition.,He decides that it’s too much work.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What rumor circulates about Huck’s father?,That he’s been found dead in the river,That he’s been found dead in the river,What rumor circulates about Huck’s father?,That he’s been found dead in the river,That he’s been found dead in the river,That he’s returned to collect Huck’s money,That he’s been found dead in the river,That he has remarried and moved out West,That he’s not actually Huck’s father
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why do the boys decide to drop out of Tom’s gang?,They never actually rob or kidnap anyone.,They never actually rob or kidnap anyone.,Why do the boys decide to drop out of Tom’s gang?,They never actually rob or kidnap anyone.,They never actually rob or kidnap anyone.,Tom becomes pushy and arrogant.,They decide it’s too dangerous.,Huck is arrested in one of their raids.,They never actually rob or kidnap anyone.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Huck sell his fortune to Judge Thatcher?,He doesn’t want his father to get it.,He doesn’t want his father to get it.,Why does Huck sell his fortune to Judge Thatcher?,He doesn’t want his father to get it.,He doesn’t want his father to get it.,He wants money to bet on a horse.,He wants money to buy a boat.,He decides to live without worldly possessions.,He doesn’t want his father to get it.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Whom does Jim consult about Huck’s predicament?,A large hairball,A large hairball,Whom does Jim consult about Huck’s predicament?,A large hairball,A large hairball,Widow Douglas,Judge Thatcher,Tom Sawyer,A large hairball
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does Pap react to Huck’s efforts to read?,It makes him angry.,It makes him angry.,How does Pap react to Huck’s efforts to read?,It makes him angry.,It makes him angry.,He is proud of his son.,It makes him angry.,He decides to learn as well.,He begins to cry out of shame for being illiterate.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What stops Huck from escaping the shack?,His father returns.,His father returns.,What stops Huck from escaping the shack?,His father returns.,His father returns.,His father returns.,He is scared of being alone.,He is caught by the neighbor.,He can’t break the lock on the door.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What keeps Pap from attacking Huck with the knife?,He passes out.,He passes out.,What keeps Pap from attacking Huck with the knife?,He passes out.,He passes out.,He passes out.,He sobers up and realizes what he’s doing.,The judge breaks in and stops him.,He falls and stabs himself.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does Huck eventually escape from Pap?,He cuts a hole in the floor of the cabin and floats away in a canoe.,He cuts a hole in the floor of the cabin and floats away in a canoe.,How does Huck eventually escape from Pap?,He cuts a hole in the floor of the cabin and floats away in a canoe.,He cuts a hole in the floor of the cabin and floats away in a canoe.,He knocks Pap out and runs away.,"He finds Judge Thatcher, who has Pap arrested.",He cuts a hole in the floor of the cabin and floats away in a canoe.,He climbs out the window and stows away on a steamboat.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Jim run away?,He doesn’t want to be sold away from his family.,He doesn’t want to be sold away from his family.,Why does Jim run away?,He doesn’t want to be sold away from his family.,He doesn’t want to be sold away from his family.,He doesn’t want to be sold away from his family.,He receives a bad beating.,He is fed up with Miss Watson.,He receives a bad omen from the hairball.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What do Jim and Huck find in the floating house?,A dead man,A dead man,What do Jim and Huck find in the floating house?,A dead man,A dead man,A box of money,A child,A dead man,A mattress
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does Jim get bitten by the rattlesnake?,Huck hides a dead snake in his bed.,Huck hides a dead snake in his bed.,How does Jim get bitten by the rattlesnake?,Huck hides a dead snake in his bed.,Huck hides a dead snake in his bed.,Huck hides a dead snake in his bed.,He steps on it while searching for food.,He is trying to stop it from biting Huck.,He doesn’t notice it and sits on it.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does Huck disguise himself when he goes ashore?,He puts on a dress.,He puts on a dress.,How does Huck disguise himself when he goes ashore?,He puts on a dress.,He puts on a dress.,He covers his face with mud.,He wraps a scarf around his face.,He wears a large hat to cover his face.,He puts on a dress.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does the old lady discover that Huck is a boy?,ALL OF THE ABOVE,ALL OF THE ABOVE,How does the old lady discover that Huck is a boy?,ALL OF THE ABOVE,ALL OF THE ABOVE,He closes his legs to catch something she throws.,He almost hits a rat with a lead ball.,He forgets the name that he originally gave her.,ALL OF THE ABOVE
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why must Huck and Jim leave the island?,A search party is coming to look for them.,A search party is coming to look for them.,Why must Huck and Jim leave the island?,A search party is coming to look for them.,A search party is coming to look for them.,A search party is coming to look for them.,A storm is coming.,They discover someone else living on it.,Jim gets a bad feeling about the island.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What does Huck discover in the wrecked steamboat?,A group of robbers,A group of robbers,What does Huck discover in the wrecked steamboat?,A group of robbers,A group of robbers,His father,A dead body,A group of robbers,Money
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What does Huck tell the ferry watchman to convince him to go to the wrecked steamboat?,His family is trapped on board.,His family is trapped on board.,What does Huck tell the ferry watchman to convince him to go to the wrecked steamboat?,His family is trapped on board.,His family is trapped on board.,There are robbers on board.,His family is trapped on board.,He will pay the ferryman to help him.,There are a group of nuns on board.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What do Huck and Jim do with the robber’s boat?,They sink it.,They sink it.,What do Huck and Jim do with the robber’s boat?,They sink it.,They sink it.,They live on it.,They sink it.,They sell it.,They trade it for two donkeys.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Jim think Solomon wasn’t a wise man?,Solomon was going to cut a baby in half.,Solomon was going to cut a baby in half.,Why does Jim think Solomon wasn’t a wise man?,Solomon was going to cut a baby in half.,Solomon was going to cut a baby in half.,Solomon is dead.,Solomon had too many wives.,Solomon was going to cut a baby in half.,Solomon couldn’t speak English.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What convinces Jim that the ordeal in the fog was not a dream?,He sees the dirt and tree branches on the raft.,He sees the dirt and tree branches on the raft.,What convinces Jim that the ordeal in the fog was not a dream?,He sees the dirt and tree branches on the raft.,He sees the dirt and tree branches on the raft.,Huck eventually admits to trying to trick him.,He sees the dirt and tree branches on the raft.,He realizes how much time has passed.,He catches Huck in a lie about a detail of his story.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What town are Huck and Jim trying to reach?,Cairo,Cairo,What town are Huck and Jim trying to reach?,Cairo,Cairo,Paris,St. Louis,New Orleans,Cairo
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does Huck dissuade the men in the boat from searching his raft?,His says his small-pox ridden family is onboard.,His says his small-pox ridden family is onboard.,How does Huck dissuade the men in the boat from searching his raft?,His says his small-pox ridden family is onboard.,His says his small-pox ridden family is onboard.,He offers to pay them $40 to leave.,His says his small-pox ridden family is onboard.,He tells them Jim is on the raft with a shotgun.,He claims he has yellow fever.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How do Jim and Huck explain the disappearance of the canoe?,It is due to bad luck from the rattlesnake skin.,It is due to bad luck from the rattlesnake skin.,How do Jim and Huck explain the disappearance of the canoe?,It is due to bad luck from the rattlesnake skin.,It is due to bad luck from the rattlesnake skin.,It is due to bad luck from the rattlesnake skin.,It has been stolen by thieves.,A strong current pulled it down the river.,Someone is playing a trick on them.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Whom are the Grangerfords feuding with?,The Sheperdsons,The Sheperdsons,Whom are the Grangerfords feuding with?,The Sheperdsons,The Sheperdsons,The sheriff,Huck’s father,The Sheperdsons,The French
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What favor does Sophia ask Huck to do?,Retrieve a note for her from church,Retrieve a note for her from church,What favor does Sophia ask Huck to do?,Retrieve a note for her from church,Retrieve a note for her from church,Retrieve a note for her from church,Kill one of the Shepherdsons,Give a note to one of the Shepherdsons,Help her with the cleaning
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does Buck die?,He is shot by a Shepherdson.,He is shot by a Shepherdson.,How does Buck die?,He is shot by a Shepherdson.,He is shot by a Shepherdson.,He is shot by a Shepherdson.,He falls out of a tree.,He drowns in the river.,He contracts small pox.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Who brings Huck to Jim’s hiding place?,One of the Grangerford’s slaves,One of the Grangerford’s slaves,Who brings Huck to Jim’s hiding place?,One of the Grangerford’s slaves,One of the Grangerford’s slaves,One of the Grangerford’s slaves,Sophia Grangerford,Buck Grangerford,A stray dog
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Huck continue to serve the two con men after he realizes they are not really royalty?,He doesn’t want to cause a fight.,He doesn’t want to cause a fight.,Why does Huck continue to serve the two con men after he realizes they are not really royalty?,He doesn’t want to cause a fight.,He doesn’t want to cause a fight.,He fears they will kill him.,They threaten to turn Jim over to the authorities.,He likes them and wants to make them comfortable.,He doesn’t want to cause a fight.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why is the town that the duke and dauphin enter deserted?,Everyone has gone to a revival.,Everyone has gone to a revival.,Why is the town that the duke and dauphin enter deserted?,Everyone has gone to a revival.,Everyone has gone to a revival.,There has been an outbreak of yellow fever.,Everyone has gone to the circus.,Everyone has gone to a revival.,Everyone has moved to the city to find jobs.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does the duke print up wanted signs for Jim?,He wants people to believe that Jim is their prisoner.,He wants people to believe that Jim is their prisoner.,Why does the duke print up wanted signs for Jim?,He wants people to believe that Jim is their prisoner.,He wants people to believe that Jim is their prisoner.,He plans to turn him in and collect a reward.,He wants people to think Jim is a murderer.,He wants people to believe that Jim is their prisoner.,He is planning to play a joke on Huck and Jim.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What two plays does the duke plan to perform portions of?,<i>Hamlet</i> and <i>Romeo and Juliet</i>,<i>Hamlet</i> and <i>Romeo and Juliet</i>,What two plays does the duke plan to perform portions of?,<i>Hamlet</i> and <i>Romeo and Juliet</i>,<i>Hamlet</i> and <i>Romeo and Juliet</i>,<i>Oedipus Rex</i> and <i>Antigone</i>,<i>Les Miserables</i> and <i>The Hunchback of Notre Dame</i>,<i>The Tempest</i> and <i>Midsummer Night’s Dream</i>,<i>Hamlet</i> and <i>Romeo and Juliet</i>
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What stops the crowd from lynching Sherburn?,Sherburn shames them for their cowardice.,Sherburn shames them for their cowardice.,What stops the crowd from lynching Sherburn?,Sherburn shames them for their cowardice.,Sherburn shames them for their cowardice.,Huck pleads with them for mercy.,Sherburn’s wife asks them to forgive him.,Sherburn shames them for their cowardice.,The minister calms the crowd down.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What happens at the duke and dauphin’s performance?,Few people show up and they laugh at the show.,Few people show up and they laugh at the show.,What happens at the duke and dauphin’s performance?,Few people show up and they laugh at the show.,Few people show up and they laugh at the show.,Few people show up and they laugh at the show.,A drunk man is shot.,The duke and dauphin get into a fight onstage.,The crowd gets angry and riots.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why doesn’t the crowd at the first performance retaliate against the duke and dauphin?,They are embarrassed and want the rest of the town to also get ripped off.,They are embarrassed and want the rest of the town to also get ripped off.,Why doesn’t the crowd at the first performance retaliate against the duke and dauphin?,They are embarrassed and want the rest of the town to also get ripped off.,They are embarrassed and want the rest of the town to also get ripped off.,They don’t realize they’ve been ripped off until it’s too late.,They are embarrassed and want the rest of the town to also get ripped off.,They feel sorry for Huck and Jim and don’t want to cause them trouble.,They are too cowardly to retaliate.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Jim regret beating his daughter for not listening to him?,His daughter is deaf.,His daughter is deaf.,Why does Jim regret beating his daughter for not listening to him?,His daughter is deaf.,His daughter is deaf.,He doesn’t believe in corporal punishment.,His daughter is deaf.,His wife yells at him.,His daughter hasn’t talked to him since the incident.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does the duke disguise Jim so that he can walk around in public?,He dresses him to look like a sick Arab.,He dresses him to look like a sick Arab.,How does the duke disguise Jim so that he can walk around in public?,He dresses him to look like a sick Arab.,He dresses him to look like a sick Arab.,He dresses him like an old woman.,He disguises him as a cow.,He dresses him to look like a sick Arab.,He dresses him like a leper.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What do the duke and dauphin do when they are first offered the Wilks inheritance?,They give it to the Wilks daughters.,They give it to the Wilks daughters.,What do the duke and dauphin do when they are first offered the Wilks inheritance?,They give it to the Wilks daughters.,They give it to the Wilks daughters.,They take the money and run away.,They bury it in the ground.,They give it to the Wilks daughters.,They admit that they are imposters.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Who accuses the duke and dauphin of being frauds?,Peter Wilks’s doctor and friend,Peter Wilks’s doctor and friend,Who accuses the duke and dauphin of being frauds?,Peter Wilks’s doctor and friend,Peter Wilks’s doctor and friend,Peter Wilks’s doctor and friend,Peter Wilks’s eldest daughter,A judge,The town drunk
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Who questions Huck about England?,The youngest Wilks daughter,The youngest Wilks daughter,Who questions Huck about England?,The youngest Wilks daughter,The youngest Wilks daughter,A judge,One of the Wilks brothers,The youngest Wilks daughter,Jim
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Where does Huck hide the inheritance money?,In Peter Wilks’s coffin,In Peter Wilks’s coffin,Where does Huck hide the inheritance money?,In Peter Wilks’s coffin,In Peter Wilks’s coffin,In the backyard of the Wilks house,By the river,Up a tree,In Peter Wilks’s coffin
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Who do the duke and dauphin believe stole their money?,The house slaves,The house slaves,Who do the duke and dauphin believe stole their money?,The house slaves,The house slaves,Huck and Jim,The house slaves,The Wilks daughters,The doctor
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does Mary Jane discover the truth about the duke and dauphin?,Huck confesses to her.,Huck confesses to her.,How does Mary Jane discover the truth about the duke and dauphin?,Huck confesses to her.,Huck confesses to her.,Huck confesses to her.,Jim tells her the truth.,Joanna convinces her that they have been tricked.,She overhears the duke and dauphin plotting.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Who interrupts the duke and dauphin’s auction?,A mob accompanied by the real Wilks brothers,A mob accompanied by the real Wilks brothers,Who interrupts the duke and dauphin’s auction?,A mob accompanied by the real Wilks brothers,A mob accompanied by the real Wilks brothers,Huck and Jim,The Wilks daughters,A mob accompanied by the real Wilks brothers,The slaves
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What has delayed the arrival of the true Wilks brothers?,Their luggage was lost and one of them broke his arm.,Their luggage was lost and one of them broke his arm.,What has delayed the arrival of the true Wilks brothers?,Their luggage was lost and one of them broke his arm.,Their luggage was lost and one of them broke his arm.,They accidentally took the wrong train.,They were beaten and robbed by bandits.,Their luggage was lost and one of them broke his arm.,Their boat was shipwrecked on the way to America.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why is the crowd surprised when Peter Wilks’s coffin is opened?,They find the inheritance money inside.,They find the inheritance money inside.,Why is the crowd surprised when Peter Wilks’s coffin is opened?,They find the inheritance money inside.,They find the inheritance money inside.,There is no body in the coffin.,Peter Wilks is alive.,They find the inheritance money inside.,The body of Peter Wilks has been stripped naked.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What happens to Jim while Huck is ashore with the duke and dauphin?,He is picked up as a runaway slave.,He is picked up as a runaway slave.,What happens to Jim while Huck is ashore with the duke and dauphin?,He is picked up as a runaway slave.,He is picked up as a runaway slave.,He is attacked by a rabid dog.,He is picked up as a runaway slave.,He is bitten by a rattlesnake.,He is robbed.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Huck decide he can’t pray about his problems?,He’s not truly sorry for helping Jim.,He’s not truly sorry for helping Jim.,Why does Huck decide he can’t pray about his problems?,He’s not truly sorry for helping Jim.,He’s not truly sorry for helping Jim.,He’s not truly sorry for helping Jim.,He doesn’t know how to pray.,He doesn’t actually believe in God.,The duke and dauphin make him nervous.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What is the duke doing when Huck runs across him?,Putting up posters about the Royal Nonesuch,Putting up posters about the Royal Nonesuch,What is the duke doing when Huck runs across him?,Putting up posters about the Royal Nonesuch,Putting up posters about the Royal Nonesuch,Auctioning Jim,Performing in the street,Putting up posters about the Royal Nonesuch,Hiding from an angry mob
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Who does Huck pretend to be when he gets to the Phelps farm?,The Phelps’s nephew,The Phelps’s nephew,Who does Huck pretend to be when he gets to the Phelps farm?,The Phelps’s nephew,The Phelps’s nephew,The Phelps’s nephew,A young girl,A runaway orphan,A wandering performer
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Whose relatives do the Phelpses turn out to be?,Tom Sawyer’s,Tom Sawyer’s,Whose relatives do the Phelpses turn out to be?,Tom Sawyer’s,Tom Sawyer’s,The duke’s,The Widow Douglas’s,Tom Sawyer’s,Judge Thatcher’s
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What happens to the duke and dauphin?,They are tarred and feathered.,They are tarred and feathered.,What happens to the duke and dauphin?,They are tarred and feathered.,They are tarred and feathered.,They are tarred and feathered.,They are exposed as frauds and hung.,They skip town and travel to San Francisco.,They are arrested and brought to court.
